1,['Senior Web Developer,,Purple Tuche Brand Solutions Pvt. Ltd.',2-3 yrs',Mumbai,Mumbai Suburbs',PHP,Opencart,Magento,Web Development,Web Technologies...',    1,75,000 - 3,0,000 P.A.  ',Today',datetime.datetime(2018,3,10,22,38,50,604900)],,,,,,,
2,['Urgent Opening - PHP Web Developer,Malad West',Rustomjee Kerawala Foundation',2-7 yrs',Mumbai',Codeigniter,PHP,HTML,Javascript,Wordpress,JQuery,MySQL,Ajax...',    4,0,000 - 4,50,000 P.A.  ',1 day ago',datetime.datetime(2018,3,10,22,38,50,611906)],,,,,
3,['Web Front End Developer',Logitia Solutions Pvt. Ltd.',1-3 yrs',Navi Mumbai',Javascript,JQuery,CSS,Angularjs,PHP,Java,Front End,.Net...',    1,25,000 - 3,0,000 P.A.  ',1 day ago',datetime.datetime(2018,3,10,22,38,50,617913)],,,,,,
4,['Front-end Developer (angular or Reactjs,Javascript,Web API,Asp.net',Deloitte Shared Services India LLP',8-10 yrs',Mumbai',HTML,Javascript,CSS,ASP.Net,C#,SQL Server,Html5,TDD,Front End...',  Not disclosed ',3 days ago',datetime.datetime(2018,3,10,22,38,50,624919)],,,,,,
5,['Web Developer',Ventures HRD Centre Private Limited',2-4 yrs',Mumbai',Codeigniter,CSS,PHP,HTML,Javascript,JQuery,Web Development,Front End...',  Not disclosed ',1 day ago',datetime.datetime(2018,3,10,22,38,50,630948)],,,,,,,,,,
6,['Web Developer with .net & Angular 2/4- Pune/mumbai - 4-7 Years',Techs to Suit Inc',4-7 yrs',Mumbai,Pune',web developer,dot net developer,angular2,angular 2,angular 2 / 4...',    5,0,000 - 12,0,000 P.A.  ',15 days ago',datetime.datetime(2018,3,10,22,38,50,637953)],,,,,,,,
7,['Ruby On Rails Developer - Web Application Framework',Premium',3-8 yrs',Mumbai',Javascript,JQuery,CSS,HTML,Ajax,Angularjs,JSON,Node.Js...',  Not disclosed ',1 day ago',datetime.datetime(2018,3,10,22,38,50,644959)],,,,,,,,,,
8,['Web Developer - J2ee/ Servlets',Master Mind Consultancy',2-3 yrs',Mumbai',Javascript,HTML,JSP Servlets,Java Beans,JQuery,Ajax,Apache Tomcat...',  Not disclosed ',23 days ago',datetime.datetime(2018,3,10,22,38,50,650963)],,,,,,,,,,,
9,['Front- End Web Developer',Jobslo Consultants',7-10 yrs',Mumbai',ReactJs,HTML4 / 5,Javascript,CSS,Node.js,Websockets,OO design,Front-...',    13,0,000 - 18,0,000 P.A.  ',4 days ago',datetime.datetime(2018,3,10,22,38,50,656967)],,,,,,
10,['Web Developer',Gray Routes',2-5 yrs',Mumbai',Web Developer,Tableau,Qlik,Fusion Charts,Search Engine Optimisation...',  Not disclosed ',24 days ago',datetime.datetime(2018,3,10,22,38,50,663972)],,,,,,,,,,,,,
11,['Front- End Web Developer',Jobslo Consultants',2-6 yrs',Mumbai',ReactJs,HTML4 / 5,Javascript,CSS,Node.js,Websockets...',    8,0,000 - 12,0,000 P.A.  ',4 days ago',datetime.datetime(2018,3,10,22,38,50,670957)],,,,,,,,
12,['Web Developer - Ui/bootstrap',Western Service Provider',2-5 yrs',Mumbai',javascript,jquery,html,ui development,bootstrap,wordpress,angularjs...',  Not disclosed ',4 days ago',datetime.datetime(2018,3,10,22,38,50,677962)],,,,,,,,,,,
13,['Freelance Front End Web Developer (UI / UX) : All India',Glocalings Technologies Ltd',3-8 yrs',Bengaluru,Pune,Kolkata,Mumbai,Chennai,Delhi NCR',ux,user interface designing,web development,front end,corel draw...',  Not disclosed ',5 days ago',datetime.datetime(2018,3,10,22,38,50,683966)],,,,,,,,
14,['PHP Web Developer,Web Designer Walkin & Immediate Joining in Thane',QuickXpert Infotech',0-3 yrs',Mumbai,Mumbai Suburbs,Navi Mumbai,Thane',html,css,Javascript,jQuery,Bootstrap,Angularjs,PHP,MySQL,LAMP,Full...',    1,0,000 - 2,0,000 P.A. based on experience  ',Today',datetime.datetime(2018,3,10,22,38,50,690972)]
15,['Web Developer,,MAK Kotwal Realty',2-6 yrs',Mumbai(Lower Parel)',senior php web developer,front end web developer...',    4,0,000 - 5,0,000 P.A.  ',3 days ago',datetime.datetime(2018,3,10,22,38,50,697977)],,,,,,,,,,,
16,['Web Developer',Startup - Ideamagix',5-8 yrs',Mumbai',HTML,CSS,Web Development,Software Development,Web Technologies...',  Not disclosed ',5 days ago',datetime.datetime(2018,3,10,22,38,50,704493)],,,,,,,,,,,,,
17,['Asp.net Developer,Asp.net Web Developer,Senior Asp.net Developer',BookMyTicket.com',2-7 yrs',Mumbai(Sambhaji Nagar+12)',ASP.Net,asp,c#,c#.net,.net,.net developer,dot net developer...',  Not disclosed ',5 days ago',datetime.datetime(2018,3,10,22,38,50,711518)],,,,,,,,,
18,['Web Developer and SEO Speacialist',Kreat marketing',3-5 yrs',Mumbai(Link Road)',css,html,seo,google analytics,wordpress,web development,ppc...',    2,0,000 - 5,0,000 P.A.  ',4 days ago',datetime.datetime(2018,3,10,22,38,50,718048)],,,,,,,
19,['Front End/web Developer - UI / UX Development',Premium',2-5 yrs',Bengaluru,Chandigarh,Chennai,Gurgaon,Hyderabad,Mumbai,Noida,Pune,Gurugram',LESS,AngularJS,KnockoutJS,BackboneJS,ReactJS,SASS,HTML5,CSS3...',  Not disclosed ',3 days ago',datetime.datetime(2018,3,10,22,38,50,725035)],,
20,['Full Stack Web Developer',Curis Technologies Private Limited',1-4 yrs',Mumbai',CSS,HTML,MYSQL,PHP,Web Development,Software Development,Node JS,Ruby...',  Not disclosed ',5 days ago',datetime.datetime(2018,3,10,22,38,50,731031)],,,,,,,,,,
21,['Dot NET Software/web Developer',Focus Management Consultants Pvt Ltd.',4-9 yrs',Mumbai',CSS,WCF,MVC,HTML,Javascript,ASP.Net,C#,SQL Server,JSON,XML',    5,0,000 - 10,0,000 P.A.  ',5 days ago',datetime.datetime(2018,3,10,22,38,50,738036)],,,,
22,['Web UI Developer - Bootstrap/html/jquery/css',Western Service Provider',2-5 yrs',Mumbai',Javascript,JQuery,CSS,HTML,UI Development,Bootstrap,Angularjs,Html5,...',  Not disclosed ',4 days ago',datetime.datetime(2018,3,10,22,38,50,745042)],,,,,,,,,
23,['Web Developer | Germany Project',DOYEN Infosolutions Pvt Ltd',4-9 yrs',Navi Mumbai',Angularjs,Javascript,Maven,Bootstrap,Html5,CSS3',  Not disclosed ',5 days ago',datetime.datetime(2018,3,10,22,38,50,751046)],,,,,,,,,,,,
24,['Asp.net Web Developer Walk In Interview',Sunline green systems Pvt Ltd',0-5 yrs',Mumbai',ASP.Net MVC,LINQ,Entity Framework,ADO.Net,MS SQL Server,C#,Ajax,.NET...',    1,25,000 - 6,0,000 P.A.  ',6 days ago',datetime.datetime(2018,3,10,22,38,50,758051)],,,,,,
25,['Senior Web Developer',Venturelabour.com India Pvt. Ltd.  Private Limited',3-6 yrs',Mumbai',Asp Net,c#,MVC,Nopcommerce,Entity Frame work,jQuery,Web Services,SQL...',  Not disclosed ',4 days ago',datetime.datetime(2018,3,10,22,38,50,764055)],,,,,,,,,,
26,['Urgently Looking for Web UI Developers',Right Jobs Solutions',3-6 yrs',Mumbai Suburbs,Navi Mumbai,Thane',css,codeigniter,laravel,php,html,jquery,web application development...',    2,0,000 - 6,0,000 P.A.  ',3 days ago',datetime.datetime(2018,3,10,22,38,50,771060)],,,,,
27,['Web Designer Developer',PRAJ ACADEMY - AN SBU OF PRAJ SERVICES AND INVESTMENTS',1-3 yrs',Mumbai(Sher E Punjab Colony),Mumbai Suburbs',HTML,CSS,Javascript,Web Designing,Web Technologies,Graphic Designing...',  Not disclosed ',3 days ago',datetime.datetime(2018,3,10,22,38,50,777065)],,,,,,,,,,,
28,['Web Developer (mumbai)',Friends Color Images Pvt. Ltd.',3-5 yrs',Mumbai',Javascript,CSS,HTML,JQuery,W3C Standards,UI Development,Bootstrap...',  Not disclosed ',19 days ago',datetime.datetime(2018,3,10,22,38,50,784070)],,,,,,,,,,,
29,['Front End/ui/full Stack Web Developer- Html/css/javascript/node.js',Bazaar247 Mcommerce Pvt. Ltd.',2-5 yrs',Mumbai(Saki Vihar)',HTML,CSS,Javascript,UI Development,Front End,Web Technologies...',  Not disclosed ',19 days ago',datetime.datetime(2018,3,10,22,38,50,790073)],,,,,,,,,,,,
30,['Front End Web Developer | UI UX | HTML Developer',Stratedgy',3-6 yrs',Mumbai',javascript,css,jquery,ui development,html,bootstrap,html5...',    2,0,000 - 6,0,000 P.A.  ',29 days ago',datetime.datetime(2018,3,10,22,38,50,797079)],,,,,,,
31,['Web Developer,PHP Developer,Java Script',STX Global India Pvt Ltd.',2-4 yrs',Mumbai,Pune',HTML,Javascript,PHP,Web Development,Java,Web Technologies,Front End...',  Not disclosed ',11 days ago',datetime.datetime(2018,3,10,22,38,50,803599)],,,,,,,,
32,['Web Developer',Lotus Business Services',3-5 yrs',Mumbai',HTML,PHP,Javascript,CSS,JQuery,Codeigniter,Web Development...',    3,0,000 - 8,0,000 P.A. Best in the Industry  ',12 days ago',datetime.datetime(2018,3,10,22,38,50,810598)],,,,,,,
33,['Sr. Angular/php Web Developer Needed Urgently',Libra Web Solutions',2-5 yrs',Mumbai(M I D C)',PHP,Web Development,Web Technologies,Angularjs,Zend Framework,HTML...',  Not disclosed ',9 days ago',datetime.datetime(2018,3,10,22,38,50,817819)],,,,,,,,,,,,
34,['PHP Developer/ Web Developer/ PHP Programmer',CMTECH',4-7 yrs',Mumbai(S V Road)',javascript,php,css,joomla,wordpress,jquery,mysql,web development...',    5,50,000 - 6,50,000 P.A.  ',23 days ago',datetime.datetime(2018,3,10,22,38,50,827834)],,,,,,
35,['Web Developer - UI - Html/ CSS/ JavaScript',Premium',4-5 yrs',Mumbai',Javascript,JQuery,CSS,HTML,ASP.Net,MS SQL Server,Web Development...',  Not disclosed ',9 days ago',datetime.datetime(2018,3,10,22,38,50,835830)],,,,,,,,,,,
36,['PHP Web Developer Html/css/javascript/ajax',Karan IT Solutions',0-5 yrs',Delhi,Mumbai',css,html,javascript,jquery,w3c,ajax,web development,php,mysql,json...',  Not disclosed ',9 days ago',datetime.datetime(2018,3,10,22,38,50,845837)],,,,,,,
37,['PHP Web Developer Html/css/javascript/ajax',Karan IT Solutions',0-4 yrs',Mumbai,Pune,Delhi',HTML,W3C,Javascript,PHP,JQuery,CSS,MySQL,Ajax,JSON,Web Development',    2,0,000 - 4,50,000 P.A.  ',9 days ago',datetime.datetime(2018,3,10,22,38,50,853843)],,
38,['Web Developer(php Developer) - Kandivali',Dr Prem & Associates',1-6 yrs',Mumbai(Ashok Nagar Kandivali+6)',core php,wordpress,web development,cms,software development...',    1,0,000 - 3,25,000 P.A.  ',16 days ago',datetime.datetime(2018,3,10,22,38,50,860848)],,,,,,,,,
39,['Web Developer,,ARA Techno Legal Solutions Pvt. Ltd.',2-5 yrs',Mumbai(Khar West)',HTML,CSS,Web Development,Software Development,Web Technologies...',    1,50,000 - 3,0,000 P.A.  ',26 days ago',datetime.datetime(2018,3,10,22,38,50,869861)],,,,,,,,
40,['UI Web Developer',UBS Business Solutions (India) Pvt. Ltd.',6-8 yrs',Mumbai',UI,Web Developer,JIRA,Rally,Version1,application design,Ant,Maven...',  Not disclosed ',29 days ago',datetime.datetime(2018,3,10,22,38,50,877860)],,,,,,,,,,
41,['UI Web Developer',UBS Business Solutions (India) Pvt. Ltd.',6-8 yrs',Mumbai',UI,Web Developer,JIRA,Rally,Version1,application design,Ant,Maven...',  Not disclosed ',30 days ago',datetime.datetime(2018,3,10,22,38,50,885872)],,,,,,,,,,
42,['Asp.net Web Developer',Truckbhada.com',0-2 yrs',Mumbai(Govind Nagar)',ASP.Net,C#,SQL Server,Javascript,Java,.Net,Web Development...',  Not disclosed ',8 days ago',datetime.datetime(2018,3,10,22,38,50,892877)],,,,,,,,,,,
43,['Front end Web Developer ( Angular / React)',Mutterfly - Startup',0-3 yrs',Mumbai',HTML,Javascript,CSS,JSON,Web Development,XML,Java,Front End,Schema,...',  Not disclosed ',22 days ago',datetime.datetime(2018,3,10,22,38,50,903437)],,,,,,,,
44,['Front End Web Developer Angular JS',AppMakerLabs',1-3 yrs',Mumbai,Navi Mumbai',Angularjs,HTML5 Developer,Front End Web Developer,Front End Developer...',    1,50,000 - 4,0,000 P.A.  ',19 days ago',datetime.datetime(2018,3,10,22,38,50,910420)],,,,,,,,,
45,['Front End Web Developer - Html/css/javascript',Premium',3-5 yrs',Mumbai',Javascript,CSS,JQuery,HTML,UI Development,Ajax,Html5,Angularjs...',  Not disclosed ',23 days ago',datetime.datetime(2018,3,10,22,38,50,919434)],,,,,,,,,,
46,['Excellent job Opportunity For Web Developer',AEQUITAS INFORMATION TECHNOLOGY PRIVATE LIMITED',1-4 yrs',Mumbai',Javascript,Ajax,JQuery,ASP.Net,Html5,SQL Server,C#,Web Development...',    2,0,000 - 4,0,000 P.A.  ',10 days ago',datetime.datetime(2018,3,10,22,38,50,926460)],,,,,,
47,['Sr Web Developer',Accenture',5-8 yrs',Mumbai',Photoshop,XHTML,CMS,Web development,CSS3,Front end,Backend...',  Not disclosed ',16 days ago',datetime.datetime(2018,3,10,22,38,50,933445)],,,,,,,,,,,
48,['Web Developer',Viva Connect Private Limited',0-1 yrs',Mumbai',web development,Web Developer,PHP Developer,Python Developer,Angularjs,...',    50,000 - 2,0,000 P.A.  ',5 days ago',datetime.datetime(2018,3,10,22,38,50,940443)],,,,,,,,,
49,['Senior Web Developer',The Red Pen',3-6 yrs',Mumbai',PHP,Javascript,MySQL,Laravel,Codeigniter,Wordpress,Web Development...',  Not disclosed ',12 days ago',datetime.datetime(2018,3,10,22,38,50,947449)],,,,,,,,,,,
50,['Web Developer - Css/html/javascript',Shrooms Creatives',3-7 yrs',Mumbai',CSS,JQuery,HTML,Javascript,Web Development,Html5,Canvas,UX...',  Not disclosed ',24 days ago',datetime.datetime(2018,3,10,22,38,50,955455)],,,,,,,,,,